Ticker,Industry,Sub-Industry,Security Type,Within Range,PE Backed,VC Backed,Sh Out,Mkt Cap,EV,3m ADV ,3m ADV $ ,6m ADV ,6m ADV $,Beta,SI,SI Days,Net Leverage,Net Leverage %,Days until Earnings, EV/Sales 2019 , EV/Sales 2020 , EV/Sales 2021 , EV/Sales 2022 ,Revenue Growth 19-20 ,Revenue Growth 20-21 ,Revenue Growth 21-22 , EV/EBITDA 2019 , EV/EBITDA 2020 , EV/EBITDA 2021 , EV/EBITDA 2022 ,EBITDA Growth 19-20 ,EBITDA Growth 20-21 ,EBITDA Growth 21-22 ,EBITDA MARGIN % 2019,EBITDA MARGIN % 2020,EBITDA MARGIN % 2021,EBITDA MARGIN % 2022, P/E 2019 , P/E 2020 , P/E 2021 , P/E 2022 ,Deal Size,Market Cap At IPO,IPO to First Open,IPO to First Day,IPO to 1st Week,IPO to 1st Month,performance
SC,Financials,Consumer Finance,Common,Higher End,No,No, 334.30 ," 4,328.68 "," 43,519.91 ", 1.75 , 23.55 ,1.38, 18.64 , 1.45 , 0.12 , 8.80 ,    , 0.89 , 77.00 , 5.62 , 6.01 , 5.91 ,  NA  , (0.07), 0.02 , NA ,  NA  , 57.67 ,  NA  ,  NA  , NA , NA , NA , NA , 0.10 , NA , NA , 4.71 , 27.85 , 6.65 , 4.26 ," 2,045.80 "," 8,337.14 ", 0.07 , 0.05 , 0.07 , 0.06 ,0.025871629571125654
DRNA,Health Care,Biotechnology,Common,Above,Yes,Yes, 72.90 ," 1,692.69 "," 1,367.30 ", 0.68 , 15.67 ,0.82, 18.70 , 0.84 , 0.05 , 7.10 ,    , (0.32), 86.00 , 42.23 , 4.34 , 4.95 , 6.22 , 8.73 , (0.12), (0.20),  NA  , 10.18 , (19.38), (15.44), NA , (1.53), 0.26 , NA , 0.43 , (0.26), (0.40), (13.01), 336.76 , (46.26), (16.16), 103.50 , 262.91 , 1.00 , 2.07 , 1.27 , 1.45 ,0.34013489870004365
CARA,Health Care,Pharmaceuticals,Common,Lower End,No,Yes, 46.70 , 695.39 , 481.54 , 0.54 , 7.99 ,0.65, 9.58 , 1.14 , 0.08 , 6.00 , 1.95 , (0.41), 86.00 , 26.13 , 25.07 , 11.65 , 3.53 , 0.04 , 1.15 , 2.30 , (4.75), (4.00), (4.02), (6.70), 0.19 , (0.01), (0.40), (5.51), (6.27), (2.90), (0.53), (5.96), (5.78), (6.34), (16.28), 63.30 , 248.52 , 0.06 , 0.17 , 0.08 , 0.94 ,0.019096794292121192
MBUU,Consumer Discretionary,Leisure Products,Class A,Mid-point,Yes,No, 20.80 , 757.83 , 850.19 , 0.30 , 11.22 ,0.23, 8.46 , 1.07 , 0.05 , 3.90 , 0.65 , 0.10 , 107.00 , 1.12 , 1.37 , 1.20 ,  NA  , (0.18), 0.14 , NA , 6.33 , 8.59 , 6.92 ,  NA  , (0.26), 0.24 , NA , 0.18 , 0.16 , 0.17 , NA , 9.81 , 13.71 , 10.78 ,  NA  , 100.00 ,  -  , 0.24 , 0.27 , 0.25 , 0.33 ,0.0599334406140255
NWHM,Consumer Discretionary,Homebuilding,Common,Below,No,No, 20.00 , 49.81 , 277.69 , 0.18 , 0.49 ,0.12, 0.34 , 1.73 , 0.01 , 0.90 , 5.36 , 0.87 , 78.00 , 0.39 ,  NA  ,  NA  ,  NA  , NA , NA , NA , 6.18 ,  NA  ,  NA  ,  NA  , NA , NA , NA , 0.06 , NA , NA , NA , 17.13 ,  NA  ,  NA  ,  NA  , 98.80 , 193.83 , 0.05 , 0.11 , 0.16 , 0.29 ,-0.07732182302527002
TRVN,Health Care,Biotechnology,Common,Below,No,No, 96.30 , 110.40 , 88.05 , 1.39 , 1.43 ,1.0, 1.03 , 0.53 , 0.05 , 3.20 ,    , (0.25), 86.00 ," 2,922.08 ", 60.39 , 4.59 , 2.11 , 47.39 , 12.17 , 1.18 ,  NA  ,  NA  ,  NA  ,  NA  , NA , NA , NA , NA , NA , NA , NA , (3.80), (3.96), (4.79), (9.36), 66.60 , 182.03 , 0.02 , (0.07), 0.00 , 0.17 ,0.02543535519929363
RARE,Health Care,Biotechnology,Common,Above,Yes,Yes, 58.00 ," 3,943.45 "," 3,225.21 ", 0.58 , 38.01 ,0.57, 37.53 , 1.09 , 0.14 , 13.80 , 1.72 , (0.22), 79.00 , 32.04 , 18.70 , 10.39 , 8.03 , 0.71 , 0.80 , 0.29 , (7.96), (8.88), (12.91), (13.73), (0.10), (0.31), (0.06), (4.02), (2.11), (0.81), (0.59), (9.27), (10.27), (15.48), (21.46), 139.10 , 628.44 , 1.18 , 1.01 , 0.79 , 1.64 ,0.1988238270239924
BIOC,Health Care,Biotechnology,Common,Lower End,No,No, 29.10 , 60.99 , 54.34 , 17.96 , 8.35 ,12.18, 5.66 , 0.34 , 0.02 , 0.20 ,    , (0.12), -   , (2.16), 6.56 , 4.42 , 1.84 , (1.33), 0.48 , 1.40 ,  NA  ,  NA  ,  NA  ,  NA  , NA , NA , NA , NA , NA , NA , NA , (0.38), (2.22), (2.22), (2.74), 19.00 , 43.52 , -   , (0.06), (0.13), (0.16),0.0901711370903735
GNCA,Health Care,Biotechnology,Common,Lower End,No,Yes, 28.10 , 73.26 , 53.75 , 0.30 , 0.78 ,0.23, 0.60 , 1.00 , 0.01 , 0.80 , 0.51 , (0.28), 72.00 ,  NA  ,  NA  ,  NA  ,  NA  , NA , NA , NA , (1.83), (1.52), (1.26), (1.02), 0.21 , 0.20 , 0.24 , NA , NA , NA , NA , (1.40), (1.70), (1.75), (1.77), 66.00 , 206.61 , (0.03), (0.08), (0.02), 0.36 ,0.0785434018426483
QURE,Health Care,Biotechnology,Common,Above,Yes,Yes, 44.30 ," 2,669.39 "," 2,364.66 ", 0.40 , 24.02 ,0.47, 28.33 , 0.84 , 0.13 , 11.20 , 2.52 , (0.13), 77.00 , 329.62 , 408.44 , 167.06 , 20.77 , (0.19), 1.45 , 7.04 , (19.88), (15.96), (12.79), (13.64), 0.25 , 0.25 , (0.06), (16.58), (25.58), (13.06), (1.52), (19.37), (19.31), (15.95), (24.36), 91.80 , 299.11 , -   , (0.14), (0.06), (0.10),-0.16290247199863772
LADR,Financials,Mortgage REITs,Class A,Mid-point,Yes,Yes, 106.30 , 837.45 ," 5,650.32 ", 3.17 , 22.04 ,1.87, 12.98 , 1.77 , 0.03 , 1.20 ,    , 0.78 , 79.00 , 49.01 , 28.67 , 25.53 , 22.27 , 0.71 , 0.12 , 0.15 ,  NA  ,  NA  ,  NA  ,  NA  , NA , NA , NA , NA , NA , NA , NA , 4.34 , 7.79 , 6.88 , 6.47 , 259.00 ,  -  , (0.03), (0.00), 0.02 , 0.02 ,0.0022324116238410237
RVNC,Health Care,Pharmaceuticals,Common,Higher End,No,Yes, 53.90 ," 1,173.85 ", 913.07 , 0.88 , 18.11 ,0.83, 17.05 , 1.21 , 0.12 , 11.50 , 1.69 , (0.30), 84.00 ," 2,088.13 ", 146.44 , 9.86 , 4.44 , 13.26 , 13.85 , 1.22 , (5.58), (3.82), (4.23), (5.73), 0.46 , (0.10), (0.26), (374.09), (38.33), (2.33), (0.78), (5.61), (4.73), (5.81), (11.86), 110.40 , 284.48 , 0.31 , 0.68 , 0.67 , 1.05 ,0.024454963124537432
EGRX,Health Care,Biotechnology,Common,Mid-point,No,No, 13.70 , 747.62 , 680.50 , 0.19 , 10.32 ,0.17, 9.10 , 0.79 , 0.16 , 13.50 , (1.37), (0.10), 86.00 , 3.56 , 3.53 , 3.10 , 2.66 , 0.01 , 0.14 , 0.17 , 14.21 , 13.59 , 12.49 , 7.32 , 0.05 , 0.09 , 0.71 , 0.25 , 0.26 , 0.25 , 0.36 , 20.93 , 24.44 , 19.51 , 13.94 , 50.30 , 208.53 , 0.03 , (0.15), (0.19), (0.06),-0.04038888028636412
FLXN,Health Care,Biotechnology,Common,Mid-point,No,Yes, 38.60 , 332.80 , 398.69 , 0.83 , 7.17 ,0.84, 7.27 , 1.75 , 0.26 , 13.50 , (0.48), 0.25 , 85.00 , 3.67 , 3.43 , 1.58 , 1.01 , 0.07 , 1.18 , 0.56 , (1.94), (2.53), (5.52), 6.95 , (0.23), (0.54), (1.79), (1.89), (1.36), (0.29), 0.15 , (2.19), (2.79), (4.59), 99.20 , 74.80 , 201.45 , 0.23 , 0.13 , 0.15 , 0.52 ,-0.052599598448264014
CNCE,Health Care,Biotechnology,Common,Lower End,Yes,Yes, 29.10 , 247.61 , 152.06 , 0.17 , 1.41 ,0.19, 1.58 , 0.83 , 0.02 , 3.80 ,    , (0.94), 79.00 , 94.32 ," 2,902.37 ", 10.50 , 2.35 , (0.97), 275.43 , 3.48 ,  NA  ,  NA  ,  NA  ,  NA  , NA , NA , NA , NA , NA , NA , NA , (2.54), (2.80), (2.56), (3.24), 93.10 , 250.15 , 0.13 , 0.01 , 0.00 , (0.01),0.028843947708349967
IBP,Consumer Discretionary,Homebuilding,Common,Below,No,No, 29.90 ," 1,437.53 "," 1,842.47 ", 0.35 , 16.87 ,0.27, 13.10 , 1.71 , 0.04 , 3.00 , 2.06 , 0.22 , 79.00 , 1.22 , 1.23 , 1.16 , 1.03 , (0.01), 0.06 , 0.13 , 9.38 , 10.05 , 9.00 , 6.99 , (0.07), 0.12 , 0.29 , 0.13 , 0.12 , 0.13 , 0.15 , 14.67 , 17.00 , 14.56 , 13.40 , 94.20 , 336.62 , 0.12 , 0.16 , 0.16 , 0.32 ,-0.13053863371730268
INGN,Health Care,Health Care Equipment,Common,Lower End,No,Yes, 21.90 , 785.56 , 583.18 , 0.47 , 16.90 ,0.4, 14.26 , 0.58 , 0.13 , 9.00 , (4.67), (0.34), 86.00 , 1.63 , 1.70 , 1.48 , 1.35 , (0.05), 0.15 , 0.10 , 13.57 , 20.93 , 12.80 , 10.26 , (0.35), 0.64 , 0.25 , 0.12 , 0.08 , 0.12 , 0.13 , 37.90 , (323.91), 48.08 , 34.10 , 81.20 , 288.78 , -   , (0.05), 0.03 , 0.21 ,-0.15318407767461495
SMLR,Health Care,Health Care Equipment,Common,Below,No,No, 8.10 , 271.16 , 263.42 , 0.02 , 0.92 ,0.02, 0.66 , 0.67 , 0.00 , 0.20 , (0.69), (0.03), 75.00 , 7.93 , 8.23 , 4.92 ,  NA  , (0.04), 0.67 , NA , 23.00 , 27.36 , 14.13 ,  NA  , (0.16), 0.94 , NA , 0.35 , 0.30 , 0.35 , NA , 22.09 , 53.90 , 8.27 ,  NA  , 10.00 , 32.96 , (0.14), (0.00), (0.01), (0.19),-0.11782330589013967
VRNS,Information Technology,Systems Software,Common,Above,No,Yes, 30.90 ," 2,305.66 "," 2,250.51 ", 0.42 , 30.74 ,0.34, 24.99 , 1.07 , 0.09 , 9.60 , 2.64 , (0.02), 77.00 , 8.95 , 9.00 , 7.62 , 5.05 , (0.01), 0.18 , 0.51 , (109.00), (107.10)," (3,067.26)",  NA  , 0.02 , (0.97), NA , (0.08), (0.08), (0.00), NA , (79.64), (69.71), (279.66), 71.14 , 121.40 , 535.39 , 0.77 , 1.00 , 1.43 , 0.60 ,-0.1994825541000768
REPH,Health Care,Pharmaceuticals,Common,Below,No,No, 23.40 , 108.17 , 199.85 , 0.54 , 2.48 ,0.43, 1.99 , 0.80 , 0.07 , 6.10 , 1.83 , 0.46 , 86.00 , 2.03 , 2.49 , 2.24 , 2.01 , (0.19), 0.11 , 0.11 , 4.02 , 7.65 , 6.00 ,  NA  , (0.47), 0.27 , NA , 0.50 , 0.33 , 0.37 , NA , (5.82), (7.95), 10.80 , 4.59 , 34.50 , 61.66 , 0.07 , 0.04 , (0.03), (0.15),0.039242191771230006
GLMD,Health Care,Biotechnology,Common,Mid-point,No,No, 21.10 , 106.82 , 31.68 , 0.09 , 0.43 ,0.1, 0.51 , 0.75 , 0.02 , 8.10 , 3.76 , (2.37), 1.00 ,  NA  ,  NA  ,  NA  ,  NA  , NA , NA , NA , (1.58), (0.82), (0.74), (0.66), 0.93 , 0.12 , 0.12 , NA , NA , NA , NA , 5.21 , (3.18), (2.91), (2.69), 44.10 , 149.86 , 0.26 , 0.06 , (0.01), (0.30),0.06356019487247111
CSLT,Health Care,Health Care Technology,Class B,Above,No,Yes, 148.90 , 102.62 , 62.32 , 0.56 , 0.38 ,0.63, 0.43 , 1.18 , 0.03 , 7.90 , 1.86 , (0.53), 78.00 , 0.53 , 0.58 , 0.54 , 0.49 , (0.08), 0.07 , 0.12 , (3.50), (5.35), (13.48),  NA  , (0.34), (0.60), NA , (0.15), (0.11), (0.04), NA , (4.90), (5.28), (9.28), (19.61), 204.20 ,  -  , 1.34 , 1.49 , 0.83 , 0.01 ,0.00028172564703243813
PCTY,Information Technology,Application Software,Common,Above,Yes,No, 56.00 ," 6,193.66 "," 6,031.87 ", 0.76 , 87.85 ,0.56, 64.94 , 1.16 , 0.07 , 2.90 , (1.11), (0.03), 86.00 , 11.75 , 10.53 , 9.14 ,  NA  , 0.12 , 0.15 , NA , 41.92 , 41.73 , 33.62 ,  NA  , 0.00 , 0.24 , NA , 0.28 , 0.25 , 0.27 , NA , 69.50 , 75.45 , 61.53 ,  NA  , 137.70 , 837.89 , 0.82 , 0.41 , 0.35 , 0.14 ,-1.2794934065585295e-05
AKBA,Health Care,Biotechnology,Common,Higher End,No,Yes, 128.40 ," 1,695.19 "," 1,655.82 ", 1.76 , 21.12 ,1.69, 20.24 , 1.16 , 0.06 , 10.20 , 0.17 , (0.02), 86.00 , 5.04 , 5.23 , 5.55 , 5.87 , (0.04), (0.06), (0.06), (7.23), (8.27), (31.60), (24.67), (0.13), (0.74), 0.28 , (0.70), (0.63), (0.18), (0.24), (5.08), (8.62), (17.52), (36.92), 114.90 , 342.50 , 0.35 , 0.57 , 0.14 , 0.54 ,0.1552645569234552
MDWD,Health Care,Pharmaceuticals,Common,Lower End,No,No, 27.20 , 53.46 , 27.20 , 0.06 , 0.11 ,0.06, 0.12 , 0.65 , 0.01 , 2.80 , (3.26), (0.97), 8.00 , 0.86 , 1.16 , 0.90 , 1.40 , (0.26), 0.29 , (0.36), 3.38 ,  NA  ,  NA  ,  NA  , NA , NA , NA , 0.25 , NA , NA , NA , 24.57 , (4.33), (9.14), (5.00), 91.00 , 295.40 , 0.14 , 0.23 , 0.03 , (0.08),-0.1263935773579703
QTWO,Information Technology,Application Software,Common,Higher End,Yes,Yes, 48.60 ," 4,130.99 "," 4,468.57 ", 0.61 , 47.38 ,0.48, 37.16 , 1.20 , 0.12 , 14.70 , 17.22 , 0.08 , 86.00 , 14.15 , 11.32 , 9.18 , 7.33 , 0.25 , 0.23 , 0.25 , 229.04 , 254.87 , 131.70 , 80.09 , (0.10), 0.94 , 0.64 , 0.06 , 0.04 , 0.07 , 0.09 , 189.78 ," (4,863.13)", 253.45 , 121.01 , 116.00 , 430.48 , 0.25 , 0.17 , 0.16 , 0.01 ,-0.10135678971162908
ATEN,Information Technology,Systems Software,Common,Higher End,Yes,Yes, 78.10 , 503.93 , 407.17 , 0.50 , 3.21 ,0.37, 2.39 , 0.76 , 0.02 , 1.80 ,    , (0.25), 78.00 ,  NA  ,  NA  ,  NA  ,  NA  , NA , NA , NA ,  NA  ,  NA  ,  NA  ,  NA  , NA , NA , NA , NA , NA , NA , NA ,  NA  ,  NA  ,  NA  ,  NA  , 187.50 , 885.44 , (0.08), 0.08 , (0.02), (0.05),-0.07158937732481363
AGTC,Health Care,Biotechnology,Common,Below,No,Yes, 22.30 , 106.65 , 24.65 , 0.32 , 1.38 ,0.79, 3.39 , 1.10 , 0.04 , 5.90 , 1.82 , (1.65), -   , 2.06 , 129.20 , 621.77 , 3.74 , (0.98), (0.79), 165.44 , (1.10),  NA  ,  NA  ,  NA  , NA , NA , NA , (1.87), NA , NA , NA , (4.07), (1.97), (2.11), (1.84), 57.50 , 168.25 , 0.06 , 0.23 , 0.36 , 0.07 ,-0.012440280339797272
TWOU,Information Technology,Application Software,Common,Higher End,No,Yes, 63.60 ," 2,069.07 "," 2,219.39 ", 1.80 , 58.27 ,1.55, 50.26 , 1.17 , 0.19 , 6.10 , (6.28), 0.07 , 78.00 , 3.93 , 3.15 , 2.74 , 2.44 , 0.25 , 0.15 , 0.12 , (94.25), (419.80), 114.78 , 46.50 , (0.78), (4.66), 1.47 , (0.04), (0.01), 0.02 , 0.05 , (27.65), (27.96), (45.44), (68.39), 133.10 , 522.49 , -   , 0.08 , 0.01 , 0.16 ,-0.035174525834994134
BRG,Real Estate,Residential REITs,Class A,Below,No,No, 24.10 , 140.85 ," 2,347.76 ", 0.33 , 1.89 ,0.25, 1.44 , 1.44 , 0.02 , 1.80 , 11.06 , 0.58 , 85.00 , 11.63 , 11.53 , 10.56 , 10.80 , 0.01 , 0.09 , (0.02), 19.13 , 21.03 , 18.33 , 22.00 , (0.09), 0.15 , (0.17), 0.61 , 0.55 , 0.58 , 0.49 , (10.52), (2.88), (2.65), (3.69), 50.00 ,  -  , -   , 0.00 , 0.01 , (0.03),-0.001244427284087024
WATT,Industrials,Electrical Components & Equipm,Common,Lower End,No,No, 34.80 , 75.62 , 56.06 , 3.20 , 5.86 ,1.95, 3.57 , 0.63 , 0.13 , 0.30 , 0.71 , (0.34), 86.00 , 287.87 , 88.77 , 6.78 , 1.54 , 2.24 , 12.10 , 3.41 , (2.10), (2.24), (5.49), 4.61 , (0.06), (0.59), (2.19), (136.84), (39.60), (1.24), 0.33 , (1.44), (2.47), (4.07), 5.38 , 27.60 , 56.53 , 0.58 , 0.76 , 1.29 , 0.78 ,-0.05540108479371253
PIH,Financials,Property & Casualty Insurance,Common,Lower End,No,No, 6.10 , 27.50 , 16.49 , 0.02 , 0.07 ,0.01, 0.06 , 0.18 , 0.00 , 0.20 ,    , (1.73), 93.00 ,  NA  ,  NA  ,  NA  ,  NA  , NA , NA , NA ,  NA  ,  NA  ,  NA  ,  NA  , NA , NA , NA , NA , NA , NA , NA ,  NA  ,  NA  ,  NA  ,  NA  , 17.40 , 28.39 , -   , (0.01), 0.11 , 0.14 ,0.00838139344525679
RUBI,Consumer Discretionary,Internet & Direct Marketing Re,Common,Lower End,No,Yes, 54.90 , 638.89 , 572.52 , 2.25 , 13.37 ,1.77, 10.52 , 1.37 , 0.05 , 2.80 , (2.58), (0.11), 86.00 , 3.76 , 3.26 , 2.53 , 1.93 , 0.15 , 0.29 , 0.31 , 22.89 , 97.99 , 14.01 , 7.84 , (0.77), 5.99 , 0.79 , 0.16 , 0.03 , 0.18 , 0.25 , (297.75), (18.79), 126.70 ,  NA  , 116.80 , 536.09 , 0.17 , 0.34 , 0.34 , (0.02),-0.13879279599255012
TEDU,Consumer Discretionary,Education Services,ADR,Mid-point,No,Yes, 54.90 , 163.51 , 88.16 , 0.47 , 1.40 ,0.4, 1.20 , 0.56 ,, 2.20 ,    , (0.85), NA ,  NA  ,  NA  ,  NA  ,  NA  , NA , NA , NA ,  NA  ,  NA  ,  NA  ,  NA  , NA , NA , NA , NA , NA , NA , NA ,  NA  ,  NA  ,  NA  ,  NA  , 137.70 ,  -  , 0.10 , 0.01 , (0.16), 0.02 ,0.07255886827099389
FIVN,Information Technology,Application Software,Common,Below,Yes,Yes, 61.70 ," 6,513.03 "," 6,416.41 ", 1.21 , 127.14 ,0.89, 93.31 , 0.74 , 0.09 , 4.70 , (1.59), (0.02), 79.00 , 19.56 , 16.78 , 14.33 , 12.60 , 0.17 , 0.17 , 0.14 , 105.46 , 104.98 , 79.28 , 58.31 , 0.01 , 0.32 , 0.36 , 0.19 , 0.16 , 0.18 , 0.22 , 128.05 , 138.71 , 107.69 , 88.24 , 80.50 , 332.83 , 0.14 , 0.09 , 0.05 , -   ,0.059390544764271976
GRUB,Consumer Discretionary,Internet & Direct Marketing Re,Common,Above,Yes,Yes, 91.80 ," 5,326.28 "," 5,514.54 ", 4.28 , 248.03 ,3.78, 219.13 , 1.09 , 0.19 , 6.00 , 1.01 , 0.03 , 78.00 , 4.21 , 3.61 , 3.17 , 2.75 , 0.17 , 0.14 , 0.15 , 29.67 , 84.04 , 43.78 , 28.75 , (0.65), 0.92 , 0.52 , 0.14 , 0.04 , 0.07 , 0.10 , 73.32 , (150.45), 413.73 , 89.11 , 221.40 ," 2,038.03 ", 0.54 , 0.31 , 0.29 , 0.19 ,-0.051579887942201474
ADMS,Health Care,Biotechnology,Common,Lower End,Yes,Yes, 28.00 , 83.35 , 88.40 , 0.37 , 1.08 ,0.5, 1.47 , 0.93 , 0.05 , 4.50 , (0.06), 0.05 , 86.00 , 1.93 , 1.48 , 1.00 , 0.89 , 0.30 , 0.49 , 0.12 , (1.16), (2.03), (3.68),  NA  , (0.43), (0.45), NA , (1.66), (0.73), (0.27), NA , (0.78), (1.36), (2.19), (3.43), 48.00 , 262.77 , 0.05 , (0.12), (0.19), 0.20 ,-0.1434706720601422
FPI,Real Estate,Specialized REITs,Common,Lower End,No,No, 29.50 , 183.38 , 971.15 , 0.16 , 0.98 ,0.13, 0.81 , 0.76 , 0.12 , 24.80 , 13.69 , 0.52 , 85.00 , 17.89 , 17.71 , 17.85 ,  NA  , 0.01 , (0.01), NA , 26.30 , 24.26 , 24.32 , 23.04 , 0.08 , (0.00), 0.06 , 0.68 , 0.73 , 0.73 , NA , (28.42), (102.33), (84.11), (122.80), 53.20 , 56.20 , (0.02), (0.07), (0.04), (0.07),0.017046646201559712
PAHC,Health Care,Pharmaceuticals,Class A,Below,No,No, 40.50 , 909.80 ," 1,154.40 ", 0.20 , 4.56 ,0.18, 4.03 , 1.05 , 0.04 , 4.80 , 2.34 , 0.20 , 106.00 , 1.50 , 1.50 , 1.43 , 1.39 , 0.00 , 0.05 , 0.03 , 11.65 , 12.47 , 11.61 , 10.39 , (0.07), 0.07 , 0.12 , 0.13 , 0.12 , 0.12 , 0.13 , 18.68 , 18.04 , 16.81 , 15.95 , 219.90 ,  -  , 0.10 , 0.13 , 0.07 , 0.18 ,0.051695552497268205
CIO,Real Estate,Office REITs,Common,Below,No,No, 54.50 , 427.19 ," 1,114.00 ", 0.75 , 6.72 ,0.57, 5.12 , 1.02 , 0.01 , 1.00 , 6.21 , 0.48 , 79.00 , 7.27 , 7.15 , 6.65 ,  NA  , 0.02 , 0.08 , NA , 12.92 , 12.94 , 11.66 , 10.05 , (0.00), 0.11 , 0.16 , 0.56 , 0.55 , 0.57 , NA , (43.73), (140.31), 449.00 , 128.29 , 82.30 , 109.92 , -   , (0.01), 0.00 , -   ,0.009272247270931457
PAYC,Information Technology,Application Software,Common,Below,Yes,No, 58.40 ," 15,223.64 "," 15,151.30 ", 1.07 , 278.57 ,0.96, 248.32 , 1.43 , 0.06 , 3.00 , (0.23), -   , 78.00 , 20.43 , 18.05 , 15.08 , 13.50 , 0.13 , 0.20 , 0.12 , 47.42 , 44.38 , 36.30 , 31.80 , 0.07 , 0.22 , 0.14 , 0.43 , 0.41 , 0.42 , 0.42 , 74.27 , 70.33 , 56.59 , 48.41 , 114.60 , 762.16 , 0.19 , 0.02 , 0.07 , (0.05),0.003061113891449807
MC,Financials,Investment Banking & Brokerage,Class A,Below,No,No, 57.10 ," 1,935.88 "," 1,916.69 ", 0.84 , 23.70 ,0.67, 19.04 , 0.90 , 0.05 , 3.20 , 0.25 , 0.02 , 78.00 , 2.60 , 3.23 , 2.51 , 2.46 , (0.20), 0.29 , 0.02 , 16.26 , 12.54 , 6.17 , 6.23 , 0.30 , 1.03 , (0.01), 0.16 , 0.26 , 0.41 , 0.39 , 14.48 , 24.49 , 14.43 , 13.98 , 186.90 ,  -  , 0.08 , 0.05 , 0.08 , 0.17 ,0.04141605427581041
OPB,Financials,Regional Banks,Common,Below,Yes,No, 36.40 , 547.22 , 602.58 , 0.30 , 4.52 ,0.32, 4.79 , 1.37 , 0.01 , 2.30 ,    ,, 77.00 ,  NA  ,  NA  ,  NA  ,  NA  , 0.05 , 0.03 , NA ,  NA  ,  NA  ,  NA  ,  NA  , NA , NA , NA , NA , NA , NA , NA , 8.55 , 9.85 , 8.86 ,  NA  , 163.30 , 836.15 , -   , (0.02), -   , 0.01 ,0.025103554582750487
LEJU,Consumer Discretionary,Internet & Direct Marketing Re,ADR,Lower End,No,No, 135.80 , 222.66 , 70.41 , 0.11 , 0.18 ,0.11, 0.18 , 0.45 ,, 0.50 , (4.86), (2.02), 98.00 , 0.11 , 0.09 , 0.08 , 0.06 , 0.21 , 0.21 , 0.30 , 2.41 , 1.63 , 1.41 ,  NA  , 0.47 , 0.16 , NA , 0.05 , 0.06 , 0.05 , NA , 13.67 , 8.63 , 7.63 , 5.66 , 100.00 , 100.00 , 0.08 , 0.19 , 0.15 , 0.04 ,0.03156101630323627
SABR,Information Technology,Data Processing & Outsourced S,Common,Below,Yes,No, 274.00 ," 1,680.69 "," 4,674.32 ", 9.36 , 57.11 ,5.37, 32.77 , 1.96 , 0.09 , 2.80 , 3.15 , 0.62 , 79.00 , 1.21 , 2.39 , 1.59 , 1.36 , (0.50), 0.50 , 0.17 , 5.07 , (110.21), 9.81 , 7.03 , (1.05), (12.23), 0.40 , 0.24 , (0.02), 0.16 , 0.19 , 6.04 , (3.36), (27.23), 13.03 , 721.30 ," 4,232.88 ", 0.05 , 0.03 , 0.05 , 0.02 ,-0.06045524238952527
SPWH,Consumer Discretionary,Specialty Stores,Common,Below,Yes,No, 43.80 , 331.24 , 727.09 , 0.82 , 6.27 ,0.98, 7.52 , 0.69 , 0.10 , 8.20 , 6.62 , 0.54 , 16.00 , 0.83 , 0.73 , 0.69 ,  NA  , 0.13 , 0.06 , NA , 12.16 , 10.64 , 9.58 ,  NA  , 0.14 , 0.11 , NA , 0.07 , 0.07 , 0.07 , NA , 15.83 , 12.48 , 10.27 ,  NA  , 132.10 , 395.44 , -   , 0.03 , 0.08 , (0.02),0.03511349941183961
WB,Communication Services,Interactive Media & Services,ADR,Lower End,No,No, 226.80 ," 8,179.80 "," 7,466.38 ", 1.86 , 67.07 ,1.91, 69.03 , 0.69 ,, 12.10 , (1.03), (0.10), 6.00 , 4.23 , 4.43 , 3.95 , 3.60 , (0.05), 0.12 , 0.10 , 10.85 , 13.25 , 10.93 , 9.97 , (0.18), 0.21 , 0.10 , 0.39 , 0.33 , 0.36 , 0.36 , 12.99 , 16.23 , 13.45 , 12.10 , 328.40 ,  -  , (0.04), 0.19 , 0.20 , 0.16 ,0.23377316134556314
ALDX,Health Care,Biotechnology,Common,Below,No,Yes, 29.20 , 109.33 , 50.72 , 0.32 , 1.18 ,0.3, 1.11 , 1.90 , 0.02 , 2.00 ,    , (0.93), 86.00 ,  NA  ,  NA  , 5.69 , 1.07 , NA , NA , 4.34 ,  NA  , (0.90),  NA  ,  NA  , NA , NA , NA , NA , NA , NA , NA , (1.79), (2.50), (2.32), (7.02), 12.00 , 43.76 , (0.06), (0.10), (0.18), (0.24),-0.2964006357600658
ARES,Financials,Asset Management & Custody Ban,Units,Below,No,No, 118.40 ," 8,507.12 "," 18,140.47 ", 1.07 , 36.89 ,0.77, 26.39 , 1.27 , 0.07 , 8.30 , 18.00 , 0.45 , 79.00 , 10.34 , 12.27 , 9.84 , 8.76 , (0.16), 0.25 , 0.12 , 39.91 , 34.29 , 25.45 , 19.14 , 0.16 , 0.35 , 0.33 , 0.26 , 0.36 , 0.39 , 0.46 , 20.57 , 20.59 , 15.89 , 13.97 , 220.20 ,  -  , (0.05), (0.02), (0.07), (0.01),-0.11478428210163738
